ID,Materia,Subtopico,Dificuldade,Tempo_Min
767,Química,Eletroquímica,4.6,12
768,Geografia,Humana,4.0,16
769,Geografia,Geopolítica,2.0,10
770,Física,Óptica,1.2,5
771,Física,Óptica,4.6,17
772,Português,Redação,2.2,10
773,Química,Físico-Química,5.0,17
774,Inglês,Reading,2.3,10
775,Física,Óptica,2.3,6
776,Matemática,Álgebra,2.8,12
777,Química,Estequiometria,4.1,16
778,Física,Dinâmica,3.5,11
779,Português,Semântica,2.5,22
780,Matemática,Geometria Espacial,4.0,10
781,Matemática,Estatística,3.9,11
782,História,Medieval,1.4,4
783,Química,Atomística,4.3,12
784,Inglês,Vocabulary,3.1,10
785,Química,Orgânica,5.0,19
786,Biologia,Genética,4.8,15
787,Matemática,Geometria Plana,1.9,4
788,Matemática,Cálculo,3.0,12
789,Matemática,Trigonometria,4.5,15
790,Matemática,Cálculo,5.0,18
791,Matemática,Álgebra,3.8,12
792,Física,Eletromagnetismo,2.0,5
793,Matemática,Geometria Espacial,2.7,10
794,História,Brasil República,3.4,14
795,Física,Eletromagnetismo,3.9,9
796,Física,Óptica,1.8,5
797,Biologia,Ecologia,3.8,9
798,Inglês,Reading,3.8,10
799,Matemática,Álgebra,3.7,15
800,Inglês,Reading,4.8,12
801,Física,Termodinâmica,3.6,10
802,História,Brasil Império,1.2,7
803,Matemática,Combinatória,2.2,6
804,Português,Gramática,1.4,2
805,Matemática,Combinatória,1.6,4
806,Geografia,Cartografia,4.8,17
807,Física,Termodinâmica,4.3,13
808,Português,Semântica,2.1,10
809,Inglês,Grammar,3.6,8
810,Química,Eletroquímica,3.9,15
811,Química,Atomística,2.7,12
812,Inglês,Reading,3.4,12
813,Matemática,Combinatória,3.7,10
814,Inglês,Grammar,1.5,2
815,Física,Termodinâmica,3.6,30
816,Geografia,Ambiental,3.1,7
817,Português,Literatura Brasileira,2.9,11
818,Português,Literatura Brasileira,4.4,15
819,Matemática,Álgebra,3.6,14
820,Inglês,Grammar,4.5,14
821,Geografia,Humana,2.3,8
822,Biologia,Botânica,3.6,9
823,Física,Óptica,2.8,6
824,Inglês,Grammar,2.3,9
825,Matemática,Álgebra,2.6,18
826,História,Brasil República,3.2,10
827,Geografia,Geopolítica,4.3,16
828,Inglês,Grammar,3.2,10
829,Geografia,Cartografia,1.5,3
830,Matemática,Geometria Espacial,2.4,11
831,História,Brasil República,3.1,7
832,Química,Inorgânica,1.6,7
833,Português,Gramática,2.0,4
834,Português,Literatura Brasileira,2.8,11
835,Geografia,Física,4.0,29
836,Inglês,Vocabulary,3.4,11
837,Matemática,Cálculo,3.9,12
838,Inglês,Vocabulary,4.1,15
839,Química,Eletroquímica,4.3,15
840,Geografia,Ambiental,4.5,15
841,Biologia,Ecologia,2.6,7
842,Inglês,Reading,1.6,7
843,História,Contemporânea,3.8,14
844,Biologia,Genética,1.8,8
845,Geografia,Humana,4.9,13
846,Geografia,Física,4.0,14
847,Português,Redação,2.1,10
848,Matemática,Cálculo,1.4,2
849,Matemática,Geometria Plana,2.1,6
850,História,Medieval,4.4,13
851,Biologia,Botânica,1.1,2
852,Biologia,Evolução,3.6,12
853,História,Moderna,3.7,12
854,Português,Interpretação de Texto,4.9,17
855,História,Medieval,3.5,14
856,Inglês,Reading,4.6,16
857,Geografia,Ambiental,3.2,13
858,Biologia,Ecologia,2.8,6
859,Química,Físico-Química,3.9,9
860,Português,Interpretação de Texto,3.2,11
861,História,Antiga,2.3,5
862,Matemática,Geometria Plana,4.7,18
863,História,Brasil Império,4.2,10
864,Geografia,Ambiental,1.9,3
865,Química,Inorgânica,3.2,9
866,Biologia,Genética,3.7,11
867,Biologia,Botânica,3.1,13
868,Matemática,Álgebra,3.7,14
869,Biologia,Citologia,3.7,15
870,Física,Óptica,2.0,4
871,Geografia,Ambiental,4.2,10
872,História,Moderna,1.8,3
873,Química,Estequiometria,3.1,8
874,Biologia,Evolução,2.7,10
875,Português,Gramática,4.0,13
876,Geografia,Física,1.4,8
877,História,Brasil República,1.3,3
878,Português,Semântica,2.8,8
879,Matemática,Trigonometria,3.7,14
880,Física,Moderna,4.0,27
881,Física,Termodinâmica,4.1,10
882,História,Contemporânea,4.7,18
883,Matemática,Trigonometria,1.6,7
884,Português,Redação,2.2,6
885,Geografia,Física,3.2,7
886,Matemática,Álgebra,3.3,11
887,Física,Termodinâmica,1.8,8
888,Geografia,Humana,2.7,10
889,Química,Físico-Química,1.7,5
890,Biologia,Citologia,1.7,9
891,Matemática,Combinatória,4.0,14
892,Inglês,Vocabulary,3.2,7
893,História,Antiga,1.8,5
894,Geografia,Humana,3.7,11
895,Física,Dinâmica,2.3,8
896,História,Moderna,3.3,9
897,Geografia,Cartografia,1.7,9
898,Biologia,Evolução,4.0,16
899,Geografia,Humana,3.7,12
900,Inglês,Grammar,2.4,9
901,Física,Dinâmica,3.6,10
902,Química,Estequiometria,1.8,8
903,Física,Ondulatória,1.3,22
904,Português,Redação,1.9,1
905,Química,Orgânica,2.6,9
906,História,Medieval,2.9,9
907,Geografia,Ambiental,1.0,7
908,Química,Estequiometria,1.6,6
909,Química,Eletroquímica,3.9,9
910,Biologia,Fisiologia Humana,1.9,4
911,Matemática,Estatística,1.8,5
912,Português,Semântica,4.7,12
913,Geografia,Física,3.8,15
914,História,Contemporânea,4.0,14
915,Química,Inorgânica,3.6,13
916,Física,Eletromagnetismo,2.0,5
917,Português,Interpretação de Texto,4.3,16
918,Inglês,Vocabulary,1.0,4
919,Química,Físico-Química,1.3,2
920,Química,Físico-Química,1.6,8
921,Física,Ondulatória,1.9,8
922,Física,Óptica,3.7,13
923,Química,Eletroquímica,4.3,24
924,Química,Físico-Química,3.5,20
925,Química,Orgânica,4.7,15
926,Matemática,Estatística,3.9,9
927,Biologia,Fisiologia Humana,3.4,11
928,Química,Físico-Química,4.3,16
929,Química,Estequiometria,3.6,13
930,Geografia,Cartografia,3.4,11
931,Português,Literatura Brasileira,1.4,8
932,Português,Literatura Brasileira,3.4,12
933,Matemática,Combinatória,3.1,7
934,Inglês,Vocabulary,1.5,8
935,Matemática,Combinatória,3.7,12
936,Geografia,Física,3.8,15
937,Inglês,Grammar,2.4,11
938,Física,Óptica,1.5,3
939,Física,Termodinâmica,3.4,10
940,Biologia,Citologia,3.8,13
941,Física,Eletromagnetismo,1.0,6
942,Geografia,Cartografia,2.4,10
943,História,Brasil Colônia,4.4,13
944,História,Moderna,2.6,9
945,Inglês,Reading,2.5,7
946,História,Brasil República,2.4,10
947,Química,Eletroquímica,1.5,8
948,Química,Atomística,1.9,5
949,Matemática,Geometria Plana,2.6,11
950,Física,Moderna,1.6,5
951,Física,Cinemática,2.1,8
952,Matemática,Estatística,2.5,9
953,História,Moderna,4.9,18
954,Química,Eletroquímica,3.0,6
955,Matemática,Combinatória,3.4,9
956,Química,Eletroquímica,1.1,2
957,Química,Atomística,5.0,15
958,Português,Semântica,3.3,12
959,Física,Cinemática,3.2,11
960,Geografia,Geopolítica,4.9,16
961,Biologia,Fisiologia Humana,4.7,14
962,Química,Inorgânica,3.0,11
963,História,Brasil Colônia,4.8,14
964,História,Moderna,2.8,9
965,Biologia,Ecologia,4.8,15
966,Matemática,Trigonometria,1.5,7
967,Biologia,Evolução,3.8,12
968,Geografia,Ambiental,3.1,9
969,Biologia,Ecologia,1.4,8
970,Geografia,Física,3.2,9
971,Geografia,Humana,4.6,16
972,Biologia,Fisiologia Humana,3.9,10
973,História,Medieval,1.9,9
974,Geografia,Humana,4.1,10
975,Inglês,Vocabulary,1.0,2
976,Inglês,Grammar,3.5,12
977,História,Brasil Império,1.7,7
978,História,Brasil Império,1.9,3
979,Português,Semântica,4.8,9
980,Química,Inorgânica,4.9,15
981,Geografia,Física,1.0,5
982,Física,Termodinâmica,2.4,6
983,História,Medieval,2.1,6
984,Geografia,Humana,3.0,12
985,Geografia,Geopolítica,4.4,12
986,Química,Estequiometria,3.7,14
987,História,Contemporânea,1.9,6
988,Biologia,Genética,4.2,13
989,Matemática,Geometria Plana,2.7,12
990,Geografia,Cartografia,2.2,8
991,Matemática,Trigonometria,1.4,3
992,História,Brasil Império,4.4,16
993,Geografia,Geopolítica,2.4,11
994,História,Brasil Colônia,1.1,7
995,Biologia,Botânica,3.3,8
996,História,Brasil Colônia,2.3,10
997,Inglês,Reading,2.5,10
998,Química,Físico-Química,3.6,11
999,Português,Gramática,1.3,3
1000,Geografia,Geopolítica,3.8,12
1001,História,Brasil Império,4.1,15
1002,Inglês,Grammar,1.7,4
1003,Biologia,Evolução,2.0,9
1004,Física,Dinâmica,1.7,3
1005,Inglês,Vocabulary,1.2,5
1006,Física,Cinemática,2.0,9
1007,Português,Interpretação de Texto,1.9,6
1008,Química,Físico-Química,3.1,7
1009,Geografia,Geopolítica,4.5,17
1010,História,Brasil República,2.8,11
1011,Química,Estequiometria,3.4,13
1012,Português,Redação,3.6,10
1013,Inglês,Vocabulary,1.9,5
1014,Geografia,Cartografia,2.0,4
1015,Química,Orgânica,2.1,9
1016,Inglês,Grammar,2.2,10
1017,História,Brasil República,1.9,2
1018,Português,Redação,2.7,11
1019,Português,Semântica,1.9,8
1020,Biologia,Botânica,4.1,16
1021,História,Brasil Colônia,3.6,10
1022,Português,Literatura Brasileira,4.4,13
1023,Física,Ondulatória,2.8,11
1024,Inglês,Reading,2.3,8
1025,Matemática,Geometria Plana,4.9,13
1026,Inglês,Vocabulary,1.0,2
1027,Inglês,Reading,2.4,11
1028,Inglês,Grammar,2.9,8
1029,Física,Moderna,4.0,12
1030,Português,Gramática,3.2,13
1031,História,Contemporânea,2.5,23
1032,Inglês,Reading,4.0,10
1033,Biologia,Fisiologia Humana,2.6,7
1034,Química,Eletroquímica,3.9,13
1035,Física,Termodinâmica,2.9,8
1036,Matemática,Combinatória,3.7,10
1037,Português,Interpretação de Texto,1.1,5
1038,Física,Óptica,4.2,31
1039,Inglês,Vocabulary,3.4,8
1040,Biologia,Genética,3.0,9
1041,Matemática,Álgebra,2.4,9
1042,Física,Dinâmica,3.0,11
1043,Geografia,Cartografia,3.9,7
1044,Química,Orgânica,4.6,14
1045,História,Brasil República,3.8,10
1046,Geografia,Geopolítica,3.9,15
1047,Química,Atomística,3.1,13
1048,História,Brasil República,2.5,4
1049,Matemática,Cálculo,4.4,12
1050,Geografia,Física,3.6,11
1051,Biologia,Botânica,3.7,10
1052,História,Brasil Colônia,2.6,5
1053,Física,Cinemática,4.3,16
1054,Matemática,Geometria Plana,1.4,2
1055,Português,Semântica,3.1,9
1056,Matemática,Geometria Espacial,1.9,3
1057,Biologia,Evolução,3.0,7
1058,Inglês,Vocabulary,1.2,4
1059,Geografia,Física,4.3,10
1060,Física,Moderna,2.2,8
1061,Física,Cinemática,3.9,10
1062,Biologia,Botânica,3.6,9
1063,Português,Gramática,4.1,15
1064,Inglês,Vocabulary,3.7,10
1065,Química,Estequiometria,2.6,6
1066,Inglês,Grammar,4.6,13
1067,Geografia,Cartografia,4.1,15
1068,Geografia,Ambiental,2.0,7
1069,História,Brasil Colônia,4.8,15
1070,Matemática,Estatística,1.1,2
1071,Química,Orgânica,1.0,2
1072,Geografia,Física,4.1,16
1073,História,Brasil República,3.0,11
1074,Química,Atomística,1.2,2
1075,História,Brasil Colônia,4.6,13
1076,História,Antiga,3.3,8
1077,Física,Ondulatória,2.3,7
1078,Física,Eletromagnetismo,3.6,8
1079,Matemática,Combinatória,2.3,7
1080,Português,Gramática,4.5,16
1081,Matemática,Estatística,4.1,12
1082,Matemática,Geometria Espacial,3.2,11
1083,Biologia,Genética,1.2,4
1084,Inglês,Vocabulary,3.3,10
1085,História,Contemporânea,2.6,5
1086,Inglês,Vocabulary,4.0,12
1087,Física,Óptica,3.0,8
1088,Química,Inorgânica,3.2,12
1089,Biologia,Botânica,3.5,9
1090,Biologia,Citologia,2.1,9
1091,Física,Cinemática,3.7,11
1092,Biologia,Ecologia,2.4,11
1093,História,Medieval,5.0,19
1094,Inglês,Vocabulary,1.6,17
1095,Geografia,Humana,4.0,10
1096,Matemática,Geometria Plana,4.8,18
1097,História,Antiga,2.4,7
1098,Inglês,Grammar,1.1,5
1099,Biologia,Genética,3.2,11
1100,Inglês,Vocabulary,3.9,14
1101,Matemática,Trigonometria,3.3,7
1102,História,Medieval,1.2,6
1103,História,Antiga,2.9,6
1104,Português,Interpretação de Texto,3.7,11
1105,Física,Cinemática,2.2,7
1106,Biologia,Fisiologia Humana,3.0,9
1107,Inglês,Vocabulary,3.1,11
1108,Inglês,Vocabulary,4.7,32
1109,História,Brasil Colônia,3.0,7
1110,Geografia,Geopolítica,2.4,9
1111,História,Contemporânea,1.2,4
1112,Matemática,Cálculo,4.8,14
1113,Português,Literatura Brasileira,1.4,7
1114,Biologia,Fisiologia Humana,2.0,6
1115,Geografia,Cartografia,3.2,8
1116,Biologia,Genética,2.2,8
1117,Química,Inorgânica,5.0,14
1118,Química,Orgânica,1.3,6
1119,Física,Dinâmica,2.3,9
1120,Matemática,Combinatória,2.3,7
1121,História,Brasil Império,4.0,15
1122,História,Medieval,4.1,11
1123,Matemática,Combinatória,4.9,16
1124,Biologia,Botânica,1.9,5
1125,Física,Ondulatória,4.1,16
1126,Inglês,Vocabulary,3.6,11
1127,Inglês,Grammar,1.6,2
1128,Português,Gramática,4.7,13
1129,Biologia,Genética,1.3,4
1130,Inglês,Vocabulary,2.3,5
1131,Português,Semântica,4.1,16
1132,Português,Interpretação de Texto,2.6,9
1133,Matemática,Cálculo,1.4,2
1134,Biologia,Botânica,3.2,7
1135,Português,Redação,4.1,11
1136,História,Brasil Império,2.6,11
1137,História,Brasil Império,1.7,3
1138,Química,Inorgânica,4.3,15
1139,Física,Dinâmica,4.1,15
1140,Química,Inorgânica,2.7,7
1141,Inglês,Vocabulary,4.6,14
1142,Física,Termodinâmica,2.3,9
1143,Química,Eletroquímica,3.9,14
1144,Inglês,Vocabulary,2.5,8
1145,Química,Inorgânica,3.2,24
1146,Química,Físico-Química,4.5,16
1147,Matemática,Trigonometria,2.2,7
1148,História,Moderna,1.7,4
1149,Matemática,Cálculo,4.1,7
1150,Matemática,Cálculo,4.5,15
1151,Inglês,Grammar,2.6,9
1152,Matemática,Geometria Plana,4.5,16
1153,Biologia,Citologia,1.7,5
1154,Matemática,Geometria Plana,4.4,17
1155,História,Brasil Colônia,4.7,11
1156,Química,Eletroquímica,2.1,9
1157,Química,Inorgânica,4.0,10
1158,Física,Moderna,2.2,7
1159,Física,Moderna,2.7,8
1160,Inglês,Reading,1.5,4
1161,Português,Redação,1.8,3
1162,Física,Eletromagnetismo,3.9,9
1163,Inglês,Vocabulary,3.8,14
1164,História,Brasil Império,3.4,12
1165,Geografia,Humana,3.5,13
1166,Inglês,Grammar,4.2,11
1167,História,Medieval,1.0,16
1168,Português,Semântica,1.2,7
1169,Biologia,Citologia,3.6,10
1170,Física,Termodinâmica,2.2,10
1171,Matemática,Álgebra,3.7,14
1172,Matemática,Combinatória,1.7,5
1173,Inglês,Grammar,4.2,13
1174,Química,Eletroquímica,2.8,8
1175,Inglês,Grammar,4.7,16
1176,História,Brasil República,3.9,13
1177,Matemática,Geometria Plana,3.3,13
1178,Geografia,Física,4.9,12
1179,Geografia,Cartografia,3.5,12
1180,Português,Literatura Brasileira,3.4,14
1181,História,Moderna,4.4,13
1182,Português,Gramática,3.0,10
1183,História,Medieval,3.1,9
1184,Matemática,Combinatória,1.8,7
1185,Matemática,Combinatória,2.9,7
1186,Geografia,Cartografia,3.9,15
1187,Geografia,Humana,4.1,14
1188,Química,Físico-Química,3.9,14
1189,Física,Cinemática,2.2,21
1190,Inglês,Reading,1.4,7
1191,História,Antiga,3.3,8
1192,Geografia,Humana,1.8,5
1193,Inglês,Vocabulary,1.5,4
1194,Física,Cinemática,4.8,12
1195,Biologia,Botânica,2.4,6
1196,História,Brasil República,2.0,8
1197,Geografia,Ambiental,2.8,9
1198,Matemática,Álgebra,2.5,8
1199,Química,Eletroquímica,3.4,14
1200,Inglês,Vocabulary,2.4,6
1201,Física,Moderna,4.1,10
1202,Inglês,Reading,2.8,11
1203,Inglês,Grammar,1.9,9
1204,História,Brasil Colônia,2.6,10
1205,Geografia,Geopolítica,2.8,6
1206,Geografia,Cartografia,2.8,12
1207,Geografia,Ambiental,3.3,10
1208,Física,Termodinâmica,3.2,9
1209,Inglês,Grammar,3.4,9
1210,Química,Inorgânica,2.5,11
1211,Português,Semântica,3.3,12
1212,Biologia,Genética,3.7,14
1213,Inglês,Reading,3.4,12
1214,Física,Moderna,2.8,9
1215,Física,Eletromagnetismo,1.4,8
1216,Português,Interpretação de Texto,3.0,7
1217,Biologia,Genética,4.5,16
1218,Matemática,Combinatória,1.6,6
1219,História,Brasil Império,3.5,9
1220,Geografia,Geopolítica,3.3,9
1221,Português,Interpretação de Texto,5.0,17
1222,Português,Literatura Brasileira,4.4,15
1223,Matemática,Álgebra,3.8,11
1224,Física,Moderna,2.1,1
1225,Geografia,Cartografia,2.6,6
1226,Química,Inorgânica,1.6,8
1227,Geografia,Cartografia,1.6,7
1228,Química,Físico-Química,1.0,2
1229,Inglês,Vocabulary,2.7,6
1230,Química,Eletroquímica,4.2,16
1231,Português,Redação,1.7,7
1232,Inglês,Grammar,2.4,9
1233,Matemática,Cálculo,3.0,12
1234,História,Brasil Império,4.7,12
1235,Matemática,Cálculo,2.9,10
1236,Inglês,Vocabulary,1.3,5
1237,História,Brasil Império,3.1,11
1238,Física,Dinâmica,2.9,11
1239,Física,Ondulatória,3.5,10
1240,Matemática,Geometria Espacial,3.1,4
1241,Geografia,Cartografia,2.4,7
1242,História,Medieval,1.1,6
1243,História,Moderna,4.1,15
1244,Inglês,Vocabulary,1.7,5
1245,Matemática,Geometria Espacial,2.9,6
1246,História,Brasil Colônia,1.5,8
1247,História,Antiga,4.0,14
1248,Química,Eletroquímica,2.8,8
1249,Biologia,Fisiologia Humana,1.7,3
1250,Geografia,Física,4.9,18
1251,Química,Inorgânica,4.0,13
1252,Biologia,Evolução,2.8,7
1253,Geografia,Física,3.6,8
1254,Matemática,Geometria Plana,2.9,9
1255,Biologia,Fisiologia Humana,3.7,11
1256,Química,Estequiometria,4.5,8
1257,Geografia,Ambiental,3.7,6
1258,História,Brasil Colônia,2.1,6
1259,Português,Semântica,4.1,15
1260,Biologia,Botânica,2.3,5
1261,Geografia,Ambiental,1.0,13
1262,Português,Gramática,3.1,9
1263,Biologia,Evolução,2.1,4
1264,Física,Cinemática,4.8,18
1265,Biologia,Botânica,3.6,8
1266,Física,Moderna,3.4,14
1267,Química,Atomística,3.8,12
1268,Física,Ondulatória,2.8,12
1269,Português,Interpretação de Texto,2.0,6
1270,Matemática,Trigonometria,2.6,7
1271,História,Medieval,2.8,7
1272,Português,Literatura Brasileira,3.6,12
1273,Português,Literatura Brasileira,3.5,11
1274,História,Antiga,1.1,6
1275,História,Contemporânea,2.8,7
1276,Matemática,Álgebra,3.7,14
1277,Geografia,Cartografia,3.3,13
1278,Inglês,Grammar,2.7,12
1279,Física,Eletromagnetismo,1.9,8
1280,Inglês,Reading,3.3,9
1281,Geografia,Geopolítica,2.6,10
1282,Física,Termodinâmica,3.1,7
1283,Inglês,Grammar,3.6,8
1284,Português,Literatura Brasileira,2.2,4
1285,Geografia,Cartografia,1.3,6
1286,Biologia,Genética,1.1,20
1287,Português,Gramática,4.2,13
1288,Inglês,Reading,1.1,7
1289,Matemática,Trigonometria,1.5,7
1290,Inglês,Vocabulary,4.5,16
1291,Biologia,Citologia,1.1,6
1292,Matemática,Trigonometria,4.6,12
1293,Química,Atomística,1.7,3
1294,Inglês,Vocabulary,1.7,9
1295,Física,Cinemática,3.0,8
1296,Física,Moderna,1.8,9
1297,Português,Interpretação de Texto,1.5,6
1298,Química,Orgânica,4.3,16
1299,Matemática,Cálculo,1.7,5
1300,Química,Inorgânica,1.7,4
1301,Inglês,Reading,4.7,34
1302,Português,Literatura Brasileira,1.1,2
1303,Matemática,Geometria Plana,4.7,16
1304,História,Brasil Império,3.8,12
1305,Química,Físico-Química,1.6,5
1306,Português,Literatura Brasileira,4.8,12
1307,Química,Eletroquímica,3.0,12
1308,História,Brasil Colônia,2.7,7
1309,Física,Eletromagnetismo,4.9,18
1310,Biologia,Fisiologia Humana,4.1,12
1311,Matemática,Geometria Plana,1.5,8
1312,Inglês,Grammar,1.7,3
1313,Matemática,Estatística,2.5,7
1314,Geografia,Ambiental,4.2,10
1315,Física,Ondulatória,1.2,2
1316,Matemática,Trigonometria,3.1,8
1317,Inglês,Vocabulary,3.3,12
1318,Geografia,Humana,4.1,10
1319,Biologia,Evolução,2.7,7
1320,Física,Óptica,3.3,10
1321,Química,Físico-Química,4.7,15
1322,Geografia,Humana,2.8,8
1323,História,Medieval,2.3,20
1324,Química,Atomística,4.4,12
1325,Geografia,Humana,4.5,17
1326,Química,Estequiometria,4.9,12
1327,Português,Redação,3.0,11
1328,Inglês,Grammar,2.1,9
1329,Biologia,Genética,2.3,8
1330,Química,Estequiometria,4.6,11
1331,Matemática,Trigonometria,3.9,12
1332,Português,Semântica,4.2,10
1333,Inglês,Grammar,2.0,4
1334,Português,Literatura Brasileira,1.5,7
1335,Física,Cinemática,2.9,11
1336,Inglês,Vocabulary,4.0,7
1337,Química,Eletroquímica,2.6,7
1338,Inglês,Vocabulary,3.5,8
1339,Português,Interpretação de Texto,3.1,13
1340,História,Moderna,4.8,18
1341,Biologia,Evolução,1.3,6
1342,Matemática,Cálculo,4.8,12
1343,Física,Óptica,2.5,7
1344,Geografia,Humana,3.6,12
1345,Biologia,Genética,4.9,12
1346,Inglês,Vocabulary,4.8,17
1347,Biologia,Evolução,4.0,12
1348,Português,Interpretação de Texto,1.2,4
1349,Inglês,Vocabulary,3.1,12
1350,História,Brasil Império,3.5,13
1351,Física,Dinâmica,4.6,11
1352,Português,Literatura Brasileira,2.2,4
1353,Química,Orgânica,1.4,3
1354,Biologia,Botânica,4.8,11
1355,Inglês,Grammar,2.7,6
1356,História,Medieval,1.3,2
1357,Geografia,Cartografia,3.3,13
1358,Geografia,Cartografia,3.4,14
1359,Inglês,Grammar,2.2,10
1360,História,Medieval,4.2,12
1361,História,Contemporânea,4.4,13
1362,Inglês,Reading,3.5,12
1363,História,Medieval,4.9,17
1364,Química,Físico-Química,2.0,3
1365,Inglês,Grammar,2.5,10
1366,Matemática,Estatística,2.3,6
1367,Inglês,Vocabulary,4.9,12
1368,Matemática,Trigonometria,4.7,15
1369,Geografia,Humana,1.0,5
1370,Geografia,Geopolítica,2.9,12
1371,Química,Estequiometria,3.9,11
1372,Física,Ondulatória,2.9,22
1373,Matemática,Trigonometria,3.5,10
1374,Física,Termodinâmica,1.2,5
1375,Biologia,Ecologia,1.8,9
1376,Inglês,Vocabulary,3.7,13
1377,Português,Literatura Brasileira,3.0,11
1378,Matemática,Estatística,2.4,11
1379,Português,Interpretação de Texto,2.5,3
1380,História,Brasil Império,4.5,16
1381,Inglês,Vocabulary,5.0,15
1382,Química,Eletroquímica,4.9,15
1383,Química,Estequiometria,3.4,10
1384,Inglês,Vocabulary,4.9,16
1385,Português,Gramática,1.0,3
1386,Português,Literatura Brasileira,3.2,13
1387,Química,Físico-Química,1.7,7
1388,Inglês,Reading,4.3,14
1389,História,Brasil Império,3.2,7
1390,Matemática,Geometria Plana,2.1,10
1391,Inglês,Reading,3.6,11
1392,Química,Inorgânica,4.6,11
1393,Física,Moderna,2.1,4
1394,Geografia,Ambiental,2.9,8
1395,Inglês,Vocabulary,4.3,15
1396,Matemática,Combinatória,2.0,5
1397,Geografia,Cartografia,4.5,12
1398,Matemática,Geometria Espacial,2.4,7
1399,Matemática,Geometria Espacial,2.2,4
1400,Biologia,Evolução,1.7,9
1401,Química,Estequiometria,2.3,10
1402,História,Brasil Colônia,3.7,9
1403,Geografia,Humana,1.1,3
1404,Inglês,Grammar,2.4,5
1405,Biologia,Genética,3.0,13
1406,Física,Óptica,2.8,12
1407,Química,Atomística,2.9,8
1408,Química,Inorgânica,4.6,17
1409,Geografia,Humana,3.8,24
1410,Química,Eletroquímica,1.6,3
1411,Biologia,Genética,4.9,18
1412,Física,Cinemática,1.1,4
1413,Matemática,Geometria Plana,1.4,6
1414,Matemática,Trigonometria,1.5,2
1415,História,Moderna,1.0,2
1416,Biologia,Botânica,4.6,13
1417,Matemática,Álgebra,1.6,4
1418,Geografia,Geopolítica,1.6,7
1419,Biologia,Botânica,3.3,11
1420,Matemática,Cálculo,1.9,5
1421,Química,Estequiometria,1.0,2
1422,Inglês,Grammar,3.8,14
1423,Física,Dinâmica,4.3,13
1424,Biologia,Botânica,1.9,5
1425,Física,Óptica,1.4,8
1426,Geografia,Geopolítica,3.2,4
1427,Física,Óptica,2.1,6
1428,Inglês,Reading,3.2,13
1429,Português,Literatura Brasileira,4.4,17
1430,Inglês,Vocabulary,2.5,5
1431,Português,Semântica,3.1,7
1432,Química,Inorgânica,2.6,5
1433,Química,Atomística,2.5,6
1434,Português,Gramática,1.9,6
1435,História,Contemporânea,3.9,11
1436,Português,Interpretação de Texto,2.9,9
1437,Inglês,Vocabulary,2.1,4
1438,Física,Termodinâmica,3.0,8
1439,Matemática,Álgebra,4.0,13
1440,Matemática,Geometria Plana,2.5,6
1441,História,Brasil República,3.5,13
1442,Inglês,Grammar,1.8,6
1443,História,Brasil República,2.4,9
1444,Matemática,Combinatória,1.1,2
1445,Português,Semântica,2.3,7
1446,Matemática,Álgebra,1.7,9
1447,História,Moderna,1.7,5
1448,Português,Semântica,4.1,13
1449,Inglês,Grammar,3.2,7
1450,Português,Interpretação de Texto,3.0,11
1451,Geografia,Geopolítica,2.3,18
1452,Geografia,Geopolítica,4.2,16
1453,Geografia,Cartografia,1.4,4
1454,Português,Interpretação de Texto,1.2,2
1455,História,Brasil República,1.3,7
1456,História,Antiga,2.4,5
1457,Inglês,Vocabulary,4.5,14
1458,História,Antiga,3.8,11
1459,Português,Redação,2.6,11
1460,Inglês,Reading,3.8,12
1461,Geografia,Humana,3.5,11
1462,Biologia,Fisiologia Humana,3.5,8
1463,Biologia,Ecologia,2.1,8
1464,Português,Literatura Brasileira,3.5,13
1465,Física,Eletromagnetismo,2.3,10
1466,Inglês,Grammar,1.8,8
1467,História,Brasil República,4.2,14
1468,Geografia,Humana,2.7,10
1469,Inglês,Vocabulary,4.1,10
1470,Química,Estequiometria,3.0,13
1471,Inglês,Grammar,4.7,16
1472,Português,Redação,3.9,10
1473,Geografia,Cartografia,1.6,7
1474,História,Contemporânea,2.7,12
1475,Física,Ondulatória,1.8,9
1476,História,Moderna,1.6,3
1477,Português,Literatura Brasileira,1.5,3
1478,História,Brasil Império,2.9,9
1479,Matemática,Geometria Plana,1.6,4
1480,História,Moderna,3.2,7
1481,Inglês,Reading,1.2,3
1482,História,Contemporânea,1.3,3
1483,Física,Óptica,4.8,13
1484,Biologia,Citologia,3.3,7
1485,História,Brasil Império,4.5,11
1486,Geografia,Geopolítica,4.3,16
1487,Biologia,Fisiologia Humana,1.9,4
1488,História,Brasil Império,2.6,5
1489,Inglês,Vocabulary,2.5,7
1490,Português,Semântica,3.7,15
1491,Química,Orgânica,2.9,8
1492,Matemática,Estatística,4.9,18
1493,Matemática,Estatística,4.7,14
1494,Português,Interpretação de Texto,3.6,14
1495,Física,Eletromagnetismo,4.5,14
1496,Matemática,Trigonometria,4.7,14
1497,Física,Moderna,4.0,16
1498,Química,Inorgânica,3.5,14
1499,Português,Gramática,2.1,10
1500,Inglês,Grammar,3.9,11
1501,Português,Gramática,4.3,14
1502,Física,Termodinâmica,2.7,10
1503,Geografia,Cartografia,3.8,14
1504,Química,Eletroquímica,2.8,6
1505,Português,Literatura Brasileira,3.5,8
1506,Física,Dinâmica,2.0,10
1507,Química,Estequiometria,3.7,11
